Op,FName,Index,GMS v12,,GMS v83,,GMS v87,,GMS v92,,GMS v95,,GMS v111,,JMS v185
LOGIN_PASSWORD,CLogin::SendCheckPasswordPacket,1,0x001,1,0x001,1,0x001,1,0x001,1,0x001,21,0x015,1,0x001
GUEST_LOGIN,,,0x000,2,0x002,2,0x002,2,0x002,2,0x002,22,0x016,2,0x002
ACCOUNT_INFO_REQUEST,,,0x000,3,0x003,3,0x003,3,0x003,3,0x003,23,0x017,,0x000
SERVERLIST_REREQUEST,"CLogin::Init
CLogin::ChangeStepImmediate",,0x000,4,0x004,4,0x004,4,0x004,4,0x004,24,0x018,3,0x003
CHARLIST_REQUEST,CLogin::SendLoginPacket,2,0x002,5,0x005,5,0x005,5,0x005,5,0x005,25,0x019,4,0x004
SERVERSTATUS_REQUEST,CLogin::SendCheckUserLimitPacket,3,0x003,6,0x006,6,0x006,6,0x006,6,0x006,26,0x01A,5,0x005
ACCEPT_TOS,"CLogin::OnAcceptLicense
CLogin::OnDenyLicense",4,0x004,7,0x007,7,0x007,7,0x007,7,0x007,27,0x01B,,0x000
SET_GENDER,"CLogin::SendSetGenderPacket
CLogin::SendCancelGenderPacket",5,0x005,8,0x008,8,0x008,8,0x008,8,0x008,28,0x01C,,0x000
AFTER_LOGIN,"CLogin::OnSetAccountResult
CLogin::OnCheckPinCodeResult
CLogin::OnCheckPasswordResult
CLogin::OnSelectWorldResult",6,0x006,9,0x009,9,0x009,9,0x009,9,0x009,29,0x01D,,0x000
REGISTER_PIN,CLogin::OnCheckPinCodeResult,7,0x007,10,0x00A,10,0x00A,10,0x00A,10,0x00A,30,0x01E,,0x000
SERVERLIST_REQUEST,"CLogin::OnCheckPinCodeResult
CLogin::OnCheckPasswordResult
CLicenseDlg::OnButtonClicked",8,0x008,11,0x00B,11,0x00B,11,0x00B,11,0x00B,31,0x01F,,0x000
PLAYER_DC,"CLogin::GotoWorldSelect
CLogin::SendViewAllCharPacket",,0x000,12,0x00C,12,0x00C,12,0x00C,12,0x00C,32,0x020,,0x000
VIEW_ALL_CHAR,CLogin::SendViewAllCharPacket,,0x000,13,0x00D,13,0x00D,13,0x00D,13,0x00D,33,0x021,10,0x00A
PICK_ALL_CHAR,CLogin::SendSelectCharPacketByVAC,,0x000,14,0x00E,14,0x00E,14,0x00E,14,0x00E,34,0x022,,0x000
VAC,"CLogin::MakeVACDlg
CLogin::ResetVAC",,0x000,15,0x00F,15,0x00F,15,0x00F,15,0x00F,35,0x023,,0x000
NAME_TRANSFER,CCashShop::SendCheckNameChangePossiblePacket,,0x000,16,0x010,16,0x010,16,0x010,16,0x010,36,0x024,9,0x009
n/a,n/a,,0x000,17,0x011,17,0x011,17,0x011,17,0x011,37,0x025,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,17,0x011
WORLD_TRANSFER,CCashShop::SendCheckTransferWorldPossiblePacket,,0x000,18,0x012,18,0x012,18,0x012,18,0x012,38,0x026,,0x000
CHAR_SELECT,CLogin::SendSelectCharPacket,9,0x009,19,0x013,19,0x013,19,0x013,19,0x013,39,0x027,6,0x006
PLAYER_LOGGEDIN,CClientSocket::OnConnect,10,0x00A,20,0x014,20,0x014,20,0x014,20,0x014,40,0x028,7,0x007
CHECK_CHAR_NAME,"CLogin::SendCheckDuplicateIDPacket
CCashShop::SendCheckDuplicateIDPacket",11,0x00B,21,0x015,21,0x015,21,0x015,21,0x015,41,0x029,8,0x008
CREATE_CHAR,CLogin::SendNewCharPacket,12,0x00C,22,0x016,22,0x016,22,0x016,22,0x016,42,0x02A,11,0x00B
CREATE_CHAR_IN_CS,CLogin::SendNewCharPacket,,0x000,,0x000,,0x000,23,0x017,23,0x017,43,0x02B,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,44,0x02C,,0x000
DELETE_CHAR,CLogin::SendDeleteCharPacket,13,0x00D,23,0x017,23,0x017,24,0x018,24,0x018,45,0x02D,13,0x00D
PONG,CClientSocket::OnAliveReq,14,0x00E,24,0x018,24,0x018,25,0x019,25,0x019,46,0x02E,14,0x00E
CLIENT_START_ERROR,CClientSocket::OnConnect,15,0x00F,25,0x019,25,0x019,26,0x01A,26,0x01A,47,0x02F,21,0x015
CLIENT_ERROR,CSecurityClient::OnCheckClientIntegrityRequest,16,0x010,26,0x01A,26,0x01A,27,0x01B,27,0x01B,48,0x030,16,0x010
STRANGE_DATA,,,0x000,27,0x01B,27,0x01B,,0x000,,0x000,,0x000,,0x000
RELOG,,,0x000,28,0x01C,28,0x01C,28,0x01C,,0x000,,0x000,,0x000
REGISTER_PIC,CLogin::SendSelectCharPacket,,0x000,29,0x01D,29,0x01D,29,0x01D,28,0x01C,49,0x031,19,0x013
CHAR_SELECT_WITH_PIC,CLogin::SendSelectCharPacket,,0x000,30,0x01E,30,0x01E,30,0x01E,29,0x01D,50,0x032,20,0x014
,,,0x000,,0x000,,0x000,,0x000,,0x000,51,0x033,,0x000
VIEW_ALL_PIC_REGISTER,CLogin::SendSelectCharPacketByVAC,,0x000,31,0x01F,31,0x01F,31,0x01F,30,0x01E,52,0x034,,0x000
VIEW_ALL_WITH_PIC,CLogin::SendSelectCharPacketByVAC,,0x000,32,0x020,32,0x020,32,0x020,31,0x01F,53,0x035,,0x000
n/a,n/a,,0x000,33,0x021,33,0x021,33,0x021,32,0x020,54,0x036,22,0x016
n/a,n/a,,0x000,34,0x022,34,0x022,34,0x022,33,0x021,55,0x037,23,0x017
CLIENT_START,CLogin::Init,,0x000,35,0x023,35,0x023,35,0x023,34,0x022,56,0x038,24,0x018
NEXON_PASSPORT,"CLogin::SendCheckPasswordPacket
CLogin::SendLoginPacket
CLogin::SendViewAllCharPacket",,0x000,36,0x024,36,0x024,36,0x024,35,0x023,,0x000,,0x000
PACKET_ERROR,"CWvsApp::SendBackupPacket
CWvsApp::SendClearStackLog",,0x000,37,0x025,37,0x025,37,0x025,36,0x024,,0x000,,0x000
SECURE_PASSWORD,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,25,0x019
JMS_CLOGIN_CLOGIN,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,26,0x01A
n/a,n/a,,0x000,,0x000,38,0x026,38,0x026,37,0x025,,0x000,27,0x01B
n/a,n/a,,0x000,,0x000,39,0x027,39,0x027,38,0x026,,0x000,28,0x01C
n/a,n/a,,0x000,,0x000,,0x000,40,0x028,39,0x027,,0x000,,0x000
n/a,n/a,,0x000,,0x000,,0x000,41,0x029,40,0x028,,0x000,,0x000
,,,0x000,,0x000,,0x000,42,0x02A,,0x000,,0x000,,0x000
CHANGE_MAP,"CCashShop::SendTransferFieldPacket
CField::SendTransferFieldRequest
CITC::SendTransferFieldPacket",19,0x013,38,0x026,40,0x028,43,0x02B,41,0x029,66,0x042,29,0x01D
CHANGE_CHANNEL,CField::SendTransferChannelRequest,20,0x014,39,0x027,41,0x029,44,0x02C,42,0x02A,67,0x043,30,0x01E
ENTER_CASHSHOP,CWvsContext::SendMigrateToShopRequest,21,0x015,40,0x028,42,0x02A,45,0x02D,43,0x02B,68,0x044,31,0x01F
,,,0x000,,0x000,,0x000,,0x000,,0x000,69,0x045,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,70,0x046,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,71,0x047,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,72,0x048,,0x000
MOVE_PLAYER,"CUserLocal::OnKey
CVecCtrlUser::EndUpdateActive",22,0x016,41,0x029,43,0x02B,46,0x02E,44,0x02C,73,0x049,32,0x020
,,,0x000,,0x000,,0x000,,0x000,,0x000,74,0x04A,,0x000
CANCEL_CHAIR,"CUserLocal::HandleXKeyDown
CWvsContext::SendGetUpFromChairRequest",,0x000,42,0x02A,44,0x02C,47,0x02F,45,0x02D,75,0x04B,33,0x021
USE_CHAIR,CWvsContext::SendSitOnPortableChairRequest,23,0x017,43,0x02B,45,0x02D,48,0x030,46,0x02E,76,0x04C,34,0x022
CLOSE_RANGE_ATTACK,"CUserLocal::TryDoingNormalAttack
CUserLocal::TryDoingMeleeAttack
CUserLocal::DoActiveSkill_MesoExplosion",24,0x018,44,0x02C,46,0x02E,49,0x031,47,0x02F,77,0x04D,35,0x023
RANGED_ATTACK,"CUserLocal::TryDoingShootAttack
CUserLocal::TryDoingSmoothingMovingShootAttack",25,0x019,45,0x02D,47,0x02F,50,0x032,48,0x030,78,0x04E,36,0x024
MAGIC_ATTACK,CUserLocal::TryDoingMagicAttack,26,0x01A,46,0x02E,48,0x030,51,0x033,49,0x031,79,0x04F,37,0x025
TOUCH_MONSTER_ATTACK,CUserLocal::TryDoingBodyAttack,,0x000,47,0x02F,49,0x031,52,0x034,50,0x032,80,0x050,38,0x026
MOVING_SHOOT_ATTACK_PREPARE,CUserLocal::TryDoingSmoothingMovingShootAttackPrepare,,0x000,,0x000,,0x000,,0x000,51,0x033,81,0x051,,0x000
TAKE_DAMAGE,"CUserLocal::SetDamaged
CUserLocal::Update",28,0x01C,48,0x030,50,0x032,53,0x035,52,0x034,82,0x052,39,0x027
,,,0x000,,0x000,51,0x033,54,0x036,53,0x035,83,0x053,40,0x028
GENERAL_CHAT,"CField::SendChatMsg
CField::SendChatMsgSlash",29,0x01D,49,0x031,52,0x034,55,0x037,54,0x036,84,0x054,41,0x029
CLOSE_CHALKBOARD,CUserLocal::HandleLButtonClk,,0x000,50,0x032,53,0x035,56,0x038,55,0x037,85,0x055,42,0x02A
FACE_EXPRESSION,"CUserLocal::Update
CWvsContext::SendEmotionChange",30,0x01E,51,0x033,54,0x036,57,0x039,56,0x038,86,0x056,43,0x02B
,,,0x000,,0x000,,0x000,,0x000,,0x000,87,0x057,,0x000
USE_ITEMEFFECT,CWvsContext::SendActiveEffectItemChange,,0x000,52,0x034,55,0x037,58,0x03A,57,0x039,88,0x058,44,0x02C
USE_DEATHITEM,CUserLocal::RequestUpgradeTombEffect,,0x000,53,0x035,56,0x038,59,0x03B,58,0x03A,89,0x059,45,0x02D
n/a,n/a,,0x000,54,0x036,57,0x039,60,0x03C,59,0x03B,,0x000,46,0x02E
n/a,n/a,,0x000,55,0x037,58,0x03A,61,0x03D,60,0x03C,,0x000,47,0x02F
MOB_BANISH_PLAYER,CUserLocal::SendBanMapByMobRequest,,0x000,56,0x038,59,0x03B,62,0x03E,61,0x03D,,0x000,48,0x030
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,100,0x064,,0x000
MONSTER_BOOK_COVER,,,0x000,57,0x039,60,0x03C,63,0x03F,62,0x03E,101,0x065,49,0x031
NPC_TALK,"CNpc::ShowQuestList
CUserLocal::TalkToNpc",33,0x021,58,0x03A,61,0x03D,64,0x040,63,0x03F,102,0x066,50,0x032
REMOTE_STORE,CWvsContext::SendRemoteShopOpenRequest,,0x000,59,0x03B,62,0x03E,65,0x041,64,0x040,103,0x067,51,0x033
NPC_TALK_MORE,"CScriptMan::OnAskSlideMenu
CScriptMan::OnSay
CScriptMan::OnSayImage
CScriptMan::OnAskYesNo
CScriptMan::OnAskText
CScriptMan::OnAskBoxText
CScriptMan::OnAskNumber
CScriptMan::OnAskMenu
CScriptMan::OnAskAvatar
CScriptMan::OnAskMembershopAvatar
CScriptMan::OnAskPet
CScriptMan::OnAskPetAll
CUIInitialQuiz::SendResult
CUISpeedQuiz::SendResult",34,0x022,60,0x03C,63,0x03F,66,0x042,65,0x041,104,0x068,52,0x034
NPC_SHOP,"CShopDlg::SetRet
CShopDlg::SendRechargeRequest
CShopDlg::SendSellRequest
CShopDlg::SendBuyRequest",35,0x023,61,0x03D,64,0x040,67,0x043,66,0x042,105,0x069,53,0x035
STORAGE,"CTrunkDlg::SetRet
CTrunkDlg::SendSortItemRequest
CTrunkDlg::SendPutItemRequest
CTrunkDlg::SendGetMoneyRequest
CTrunkDlg::SendPutMoneyRequest
CTrunkDlg::SendGetItemRequest",36,0x024,62,0x03E,65,0x041,68,0x044,67,0x043,106,0x06A,54,0x036
HIRED_MERCHANT_REQUEST,CWvsContext::SendEntrustedShopCheckRequest,,0x000,63,0x03F,66,0x042,69,0x045,68,0x044,107,0x06B,55,0x037
FREDRICK_ACTION,"CStoreBankDlg::SetRet
CStoreBankDlg::SendCalculateFeeRequest
CStoreBankDlg::SendGetAllRequest",,0x000,64,0x040,67,0x043,70,0x046,69,0x045,108,0x06C,56,0x038
DUEY_ACTION,"CParcelDlg::CloseParcelDlg
CUIFadeYesNo::OnButtonClicked
CTabReceive::ReceiveParcel
CTabReceive::DiscardParcel
CTabQuickSend::SendQuickDelivery
CTabSend::SendParcel",,0x000,65,0x041,68,0x044,71,0x047,70,0x046,109,0x06D,57,0x039
,,,0x000,,0x000,,0x000,,0x000,,0x000,110,0x06E,,0x000
USER_EFFECT_LOCAL,CUserLocal::SendSkillEffectRequest,,0x000,,0x000,,0x000,72,0x048,71,0x047,111,0x06F,,0x000
OWL_ACTION,CUIShopScanner::OnCreate,,0x000,66,0x042,69,0x045,73,0x049,72,0x048,112,0x070,58,0x03A
OWL_WARP,CUIShopScanResult::OnButtonClicked,,0x000,67,0x043,70,0x046,74,0x04A,73,0x049,113,0x071,59,0x03B
ADMIN_SHOP,"CAdminShopDlg::SetRet
CAdminShopDlg::SendTradeRequest
CAdminShopDlg::OnPacket
CUIAdminShopWishList::SendRegisterPacket",,0x000,68,0x044,71,0x047,75,0x04B,74,0x04A,114,0x072,60,0x03C
ITEM_SORT,CWvsContext::SendGatherItemRequest,,0x000,69,0x045,72,0x048,76,0x04C,75,0x04B,115,0x073,61,0x03D
ITEM_SORT2,CWvsContext::SendSortItemRequest,,0x000,70,0x046,73,0x049,77,0x04D,76,0x04C,116,0x074,62,0x03E
ITEM_MOVE,CWvsContext::SendChangeSlotPositionRequest,37,0x025,71,0x047,74,0x04A,78,0x04E,77,0x04D,117,0x075,63,0x03F
,,,0x000,,0x000,,0x000,,0x000,,0x000,118,0x076,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,119,0x077,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,120,0x078,,0x000
USE_ITEM,CWvsContext::SendStatChangeItemUseRequest,38,0x026,72,0x048,75,0x04B,79,0x04F,78,0x04E,121,0x079,64,0x040
CANCEL_ITEM_EFFECT,CWvsContext::SendStatChangeItemCancelRequest,,0x000,73,0x049,76,0x04C,80,0x050,79,0x04F,122,0x07A,65,0x041
STATE_CHANGE_BY_PORTABLE_CHAIR_REQUEST,CWvsContext::TryRecovery,,0x000,74,0x04A,77,0x04D,81,0x051,80,0x050,123,0x07B,66,0x042
USE_SUMMON_BAG,CWvsContext::SendMobSummonItemUseRequest,39,0x027,75,0x04B,78,0x04E,82,0x052,81,0x051,124,0x07C,67,0x043
PET_FOOD,CWvsContext::SendPetFoodItemUseRequest,40,0x028,76,0x04C,79,0x04F,83,0x053,82,0x052,125,0x07D,68,0x044
USE_MOUNT_FOOD,CWvsContext::SendTamingMobFoodItemUseRequest,,0x000,77,0x04D,80,0x050,84,0x054,83,0x053,126,0x07E,69,0x045
SCRIPTED_ITEM,CWvsContext::SendScriptRunItemRequest,,0x000,78,0x04E,81,0x051,85,0x055,84,0x054,127,0x07F,70,0x046
,,,0x000,,0x000,,0x000,,0x000,,0x000,128,0x080,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,129,0x081,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,130,0x082,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,131,0x083,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,132,0x084,,0x000
USE_CASH_ITEM,"CItemSpeakerDlg::_SendConsumeCashItemUseRequest
CUICharacterSaleDlg::SendCreateNewCharacter
CUIIncubator::OnButtonClicked
CUIKarmaDlg::_SendConsumeCashItemUseRequest
CUIUnreleaseDlg::UnreleaseEquipItem
CWvsContext::SendConsumeCashItemUseRequest",41,0x029,79,0x04F,82,0x052,86,0x056,85,0x055,133,0x085,71,0x047
DESTROY_PET_ITEM_REQUEST,CWvsContext::SendActivatePetRequest,,0x000,80,0x050,83,0x053,87,0x057,86,0x056,134,0x086,72,0x048
USE_CATCH_ITEM,CWvsContext::SendBridleItemUseRequest,,0x000,81,0x051,84,0x054,88,0x058,87,0x057,135,0x087,73,0x049
USE_SKILL_BOOK,CWvsContext::SendSkillLearnItemUseRequest,,0x000,82,0x052,85,0x055,89,0x059,88,0x058,136,0x088,74,0x04A
USE_SKILL_RESET_BOOK,CWvsContext::SendSkillResetItemUseRequest,,0x000,83,0x053,86,0x056,90,0x05A,89,0x059,137,0x089,75,0x04B
,,,0x000,,0x000,,0x000,,0x000,,0x000,138,0x08A,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,139,0x08B,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,140,0x08C,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,141,0x08D,,0x000
USE_SHOP_SCANNER_ITEM,CWvsContext::SendShopScannerItemUseRequest,,0x000,,0x000,,0x000,,0x000,90,0x05A,142,0x08E,,0x000
USE_TELEPORT_ROCK,CWvsContext::SendMapTransferItemUseRequest,,0x000,84,0x054,87,0x057,91,0x05B,91,0x05B,143,0x08F,76,0x04C
USE_RETURN_SCROLL,CWvsContext::SendPortalScrollUseRequest,42,0x02A,85,0x055,88,0x058,92,0x05C,92,0x05C,144,0x090,77,0x04D
USE_UPGRADE_SCROLL,CWvsContext::SendUpgradeItemUseRequest,43,0x02B,86,0x056,89,0x059,93,0x05D,93,0x05D,145,0x091,78,0x04E
HYPER_UPGRADE_ITEM_USE,CWvsContext::SendHyperUpgradeItemUseRequest,,0x000,,0x000,,0x000,94,0x05E,94,0x05E,146,0x092,79,0x04F
ITEM_OPTION_UPGRADE_USE,CWvsContext::SendItemOptionUpgradeItemUseRequest,,0x000,,0x000,,0x000,95,0x05F,95,0x05F,147,0x093,80,0x050
,,,0x000,,0x000,,0x000,,0x000,,0x000,148,0x094,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,149,0x095,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,150,0x096,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,151,0x097,,0x000
UI_OPEN_ITEM_USE_REQUEST,CWvsContext::SendUIOpenItemRequest,,0x000,,0x000,,0x000,,0x000,96,0x060,152,0x098,,0x000
ITEM_RELEASE_REQUEST,CWvsContext::SendItemReleaseRequest,,0x000,,0x000,,0x000,96,0x060,97,0x061,153,0x099,81,0x051
DISTRIBUTE_AP,CWvsContext::SendAbilityUpRequest,44,0x02C,87,0x057,90,0x05A,97,0x061,98,0x062,154,0x09A,82,0x052
AUTO_DISTRIBUTE_AP,CWvsContext::SendAbilityUpRequest,,0x000,88,0x058,91,0x05B,98,0x062,99,0x063,155,0x09B,83,0x053
HEAL_OVER_TIME,CWvsContext::SendStatChangeRequest,45,0x02D,89,0x059,92,0x05C,99,0x063,100,0x064,156,0x09C,84,0x054
USER_CHANGE_STAT_REQUEST_BY_ITEM,CWvsContext::SendStatChangeRequestByItemOption,,0x000,,0x000,,0x000,100,0x064,101,0x065,157,0x09D,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,158,0x09E,,0x000
DISTRIBUTE_SP,CWvsContext::SendSkillUpRequest,46,0x02E,90,0x05A,93,0x05D,101,0x065,102,0x066,159,0x09F,85,0x055
SPECIAL_MOVE,"CUserLocal::DoActiveSkill_Heal
CUserLocal::TryDoingSwallowAbsorb
CGrenade::SendTimeBombInfo
CUserLocal::DoActiveSkill_OpenGate
CUserLocal::DoActiveSkill_TownPortal
CUserLocal::DoActiveSkill_Summon
CUserLocal::DoActiveSkill_SmokeShell
CUserLocal::DoActiveSkill_Flying
CUserLocal::DoActiveSkill_DamageMeter
CUserLocal::DoActiveSkill_MobCapture
CUserLocal::DoActiveSkill_StatChangeAdmin
CUserLocal::DoActiveSkill_RecoveryAura
CUserLocal::SendSkillUseRequest
CUserLocal::DoActiveSkill_SummonMonster
CUserLocal::TryDoingMonsterMagnet",47,0x02F,91,0x05B,94,0x05E,102,0x066,103,0x067,160,0x0A0,86,0x056
CANCEL_BUFF,CUserLocal::SendSkillCancelRequest,48,0x030,92,0x05C,95,0x05F,103,0x067,104,0x068,161,0x0A1,87,0x057
